lr-Adam,step,train_loss_step,epoch,train_loss_epoch,val_loss
0.0001,49,,,,
,49,0.15036603808403015,0,,
0.0001,99,,,,
,99,0.13962052762508392,0,,
0.0001,149,,,,
,149,0.13225288689136505,0,,
0.0001,199,,,,
,199,0.13514187932014465,0,,
0.0001,249,,,,
,249,0.12186870723962784,0,,
0.0001,299,,,,
,299,0.11146950721740723,0,,
0.0001,349,,,,
,349,0.08352448791265488,0,,
0.0001,399,,,,
,399,0.09606382250785828,0,,
0.0001,449,,,,
,449,0.07823239266872406,0,,
0.0001,499,,,,
,499,0.08477925509214401,0,,
0.0001,549,,,,
,549,0.055253978818655014,0,,
0.0001,599,,,,
,599,0.0548521913588047,0,,
0.0001,649,,,,
,649,0.04706181585788727,0,,
0.0001,699,,,,
,699,0.06720933318138123,0,,
0.0001,749,,,,
,749,0.04442020505666733,0,,
0.0001,799,,,,
,799,0.07878439873456955,0,,
0.0001,849,,,,
,849,0.07420475780963898,0,,
0.0001,899,,,,
,899,0.01700715906918049,0,,
0.0001,949,,,,
,949,0.027879294008016586,0,,
0.0001,999,,,,
,999,0.024815568700432777,0,,
0.0001,1049,,,,
,1049,0.04060180485248566,0,,
0.0001,1099,,,,
,1099,0.06908304989337921,0,,
0.0001,1149,,,,
,1149,0.04176582396030426,0,,
0.0001,1199,,,,
,1199,0.011490209959447384,0,,
0.0001,1249,,,,
,1249,0.020724976435303688,0,,
0.0001,1299,,,,
,1299,0.027573512867093086,0,,
0.0001,1349,,,,
,1349,0.012758148834109306,0,,
0.0001,1399,,,,
,1399,0.048646070063114166,0,,
0.0001,1449,,,,
,1449,0.06375367939472198,0,,
0.0001,1499,,,,
,1499,0.024009156972169876,0,,
0.0001,1549,,,,
,1549,0.0728280171751976,0,,
0.0001,1599,,,,
,1599,0.05301247909665108,0,,
0.0001,1649,,,,
,1649,0.0417521707713604,0,,
0.0001,1699,,,,
,1699,0.06972169131040573,0,,
0.0001,1749,,,,
,1749,0.03622327744960785,0,,
0.0001,1799,,,,
,1799,0.015539492480456829,0,,
0.0001,1849,,,,
,1849,0.059887610375881195,0,,
0.0001,1899,,,,
,1899,0.056847572326660156,0,,
0.0001,1949,,,,
